"","V1","V2","V3","V4"
"290",2,11,13,11
"291",1,3,4,3
"292",1,6,7,6
"293",2,3,5,4
"294",1,6,7,6
"295",1,2,3,2
"296",1,4,5,4
"297",9,13,22,19
"298",1,6,7,6
"299",1,2,3,2
"300",1,2,3,2
"301",4,3,7,4
"302",1,2,3,2
"303",2,8,10,9
"304",1,12,13,12
"305",1,1,2,1
"306",4,2,6,5
"307",1,2,3,2
"308",1,1,2,1
"309",1,30,31,30
"310",2,7,9,7
"311",3,9,12,11
"312",3,14,17,15
"313",2,1,3,2
"314",1,2,3,2
"315",2,2,4,3
"316",2,16,18,17
"317",1,2,3,2
"318",1,30,31,30
"319",3,14,17,15
"320",2,3,5,4
"321",1,4,5,4
"322",1,2,3,2
"323",1,1,2,1
"324",1,7,8,7
"325",1,19,20,19
"326",1,4,5,4
"327",1,4,5,4
"328",3,11,14,13
"329",2,5,7,5
"330",1,41,42,41
"331",1,1,2,1
"332",1,24,25,24
"333",1,2,3,2
"334",1,2,3,2
"335",1,6,7,6
"336",1,1,2,1
"337",3,3,6,5
"338",2,9,11,10
"339",1,1,2,1
"340",1,3,4,3
"341",1,13,14,13
"342",1,12,13,12
"343",1,2,3,2
"344",1,7,8,7
"345",1,5,6,5
"346",1,6,7,6
"347",1,7,8,7
"348",1,4,5,4
"349",4,38,42,40
"350",1,38,39,38
"351",1,8,9,8
"352",1,1,2,1
"353",1,4,5,4
"354",2,2,4,2
"355",1,37,38,37
"356",1,4,5,4
"357",1,1,2,1
"358",1,9,10,9
"359",1,3,4,3
"360",1,1,2,1
"361",1,1,2,1
"362",1,3,4,3
"363",1,1,2,1
"364",1,3,4,3
"365",1,1,2,1
"366",1,23,24,23
"367",1,1,2,1
"368",4,8,12,9
"369",1,12,13,12
"370",1,1,2,1
"371",1,7,8,7
"372",1,2,3,2
"373",2,1,3,2
"374",2,7,9,7
"375",2,18,20,18
"376",2,3,5,4
"377",7,13,20,18
"378",3,20,23,21
"379",2,3,5,3
"380",1,4,5,4
"381",1,2,3,2
"382",1,14,15,14
"383",2,10,12,10
"384",3,2,5,3
"385",3,1,4,3
"386",1,1,2,1
"387",1,1,2,1
"388",1,2,3,2
"389",4,15,19,18
"390",3,4,7,4
"391",6,1,7,6
"392",2,1,3,2
"393",2,41,43,41
"394",3,39,42,41
"395",3,25,28,27
"396",1,1,2,1
"397",1,6,7,6
"398",4,4,8,7
"399",1,7,8,7
"400",2,16,18,16
"401",2,1,3,2
"402",1,3,4,3
"403",1,3,4,3
"404",1,1,2,1
"405",1,1,2,1
"406",1,5,6,5
"407",2,6,8,6
"408",1,13,14,13
"409",3,16,19,16
"410",2,2,4,3
"411",1,10,11,10
"412",1,4,5,4
"413",2,6,8,6
"414",1,1,2,1
"415",3,7,10,7
"416",1,38,39,38
"417",2,6,8,6
"418",1,8,9,8
"419",8,37,45,43
"420",2,6,8,6
"421",1,6,7,6
"422",1,1,2,1
"423",1,2,3,2
"424",5,1,6,5
"425",1,1,2,1
"426",1,1,2,1
"427",1,1,2,1
"428",1,1,2,1
"429",1,22,23,22
"430",1,4,5,4
"431",1,1,2,1
"432",1,1,2,1
"433",1,4,5,4
"434",1,1,2,1
"435",1,1,2,1
"436",1,3,4,3
"437",6,1,7,6
"438",1,9,10,9
"439",1,3,4,3
"440",2,4,6,5
"441",2,15,17,15
"442",1,2,3,2
"443",1,1,2,1
"444",1,3,4,3
"445",1,23,24,23
"446",4,9,13,12
"447",1,2,3,2
"448",1,1,2,1
"449",6,13,19,14
"450",5,41,46,42
"451",1,1,2,1
"452",1,1,2,1
"453",1,25,26,25
"454",1,4,5,4
"455",1,7,8,7
"456",1,1,2,1
"457",5,9,14,12
"458",1,7,8,7
"459",1,3,4,3
"460",3,24,27,26
"461",1,5,6,5
"462",1,3,4,3
"463",3,22,25,23
"464",1,3,4,3
"465",1,4,5,4
"466",1,20,21,20
"467",2,10,12,11
"468",1,14,15,14
"469",1,19,20,19
"470",3,10,13,12
"471",6,9,15,12
"472",1,5,6,5
"473",2,9,11,9
"474",3,11,14,11
"475",5,11,16,12
"476",3,5,8,7
"477",1,3,4,3
"478",1,2,3,2
"479",1,1,2,1
"480",1,2,3,2
"481",1,11,12,11
"482",1,4,5,4
"483",1,1,2,1
"484",1,1,2,1
"485",2,4,6,5
"486",1,4,5,4
"487",1,1,2,1
"488",1,2,3,2
"489",12,16,28,22
"490",1,7,8,7
"491",5,8,13,11
"492",1,25,26,25
"493",1,1,2,1
"494",1,6,7,6
"495",1,3,4,3
"496",1,1,2,1
"497",1,1,2,1
"498",1,1,2,1
"499",1,14,15,14
"500",1,2,3,2
"501",1,24,25,24
"502",1,10,11,10
"503",1,3,4,3
"504",1,2,3,2
"505",2,4,6,5
"506",2,16,18,16
"507",4,35,39,36
"508",3,22,25,22
"509",1,3,4,3
"510",1,3,4,3
"511",1,4,5,4
"512",1,2,3,2
"513",2,1,3,2
"514",3,7,10,9
"515",1,6,7,6
"516",1,3,4,3
"517",1,23,24,23
"518",1,6,7,6
"519",1,14,15,14
"520",2,2,4,3
"521",17,6,23,22
"522",1,5,6,5
"523",3,6,9,7
"524",1,4,5,4
"525",1,1,2,1
"526",2,4,6,5
"527",2,1,3,2
"528",1,2,3,2
"529",6,1,7,6
"530",1,10,11,10
"531",3,3,6,5
"532",1,5,6,5
"533",1,4,5,4
"534",2,3,5,3
"535",5,37,42,38
"536",3,5,8,6
"537",1,16,17,16
"538",4,29,33,30
"539",1,1,2,1
"540",7,11,18,17
"541",12,6,18,17
"542",1,7,8,7
"543",1,9,10,9
"544",1,6,7,6
"545",1,4,5,4
"546",5,17,22,21
"547",5,11,16,12
"548",2,16,18,16
"549",2,28,30,28
"550",1,28,29,28
"551",2,12,14,12
"552",3,11,14,13
"553",1,6,7,6
"554",3,1,4,3
"555",2,6,8,6
"556",1,2,3,2
"557",1,14,15,14
"558",1,12,13,12
"559",1,15,16,15
"560",5,1,6,5
"561",2,3,5,4
"562",1,1,2,1
"563",2,4,6,4
"564",1,4,5,4
"565",1,8,9,8
"566",1,1,2,1
"567",1,1,2,1
"568",1,2,3,2
"569",1,3,4,3
"570",1,2,3,2
"571",15,1,16,15
"572",1,22,23,22
"573",5,2,7,6
"574",1,8,9,8
"575",4,1,5,4
"576",2,2,4,2
"577",1,2,3,2
"578",5,1,6,5
"579",2,7,9,7
"580",2,4,6,4
"581",1,2,3,2
"582",1,2,3,2
"583",1,3,4,3
"584",1,4,5,4
"585",5,41,46,43
"586",1,10,11,10
"587",15,1,16,15
"588",5,6,11,10
"589",7,1,8,7
"590",3,6,9,7
"591",1,2,3,2
